id,namaProduk,imageUrl,harga,skinType,colorRange,SkintoneId,createdAt,updatedAt
139,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Seashell),https://www.sephora.com/productimages/sku/s2084614-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Rosy,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
140,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Pearl),https://www.sephora.com/productimages/sku/s1762616-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Rosy,1,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
16,Make Over Hydrastay Lite Glow Cushion,https://makeover-bucket-testing.s3.ap-southeast-1.amazonaws.com/images/productthumbnail/0dc560e9257c8a9eb53f9960f36ee7e06f034d00.png,Rp. 213.750,Kering dan Normal,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
17,Make Over Powerstay Demi-Matte Cover Cushion ,https://makeover-bucket-testing.s3.ap-southeast-1.amazonaws.com/images/productthumbnail/eccac92e7a80088dd464f2866b044f5e17666513.jpg,Rp. 213.750,Berminyak (Oily Skin),Warm,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
22,Make Over Silky Smooth Translucent Powder ,https://makeover-bucket-testing.s3.ap-southeast-1.amazonaws.com/images/productthumbnail/07a2e02e0cee3389f09e914fe0850d5d9f3938a8.jpg,Rp. 137.750,Berminyak (Oily Skin),Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
25,Make Over Hydrastay Radiant Finishing Powder,https://makeover-bucket-testing.s3.ap-southeast-1.amazonaws.com/images/productthumbnail/3f770514e838ee9d4f81949586433417aeda593f.jpeg,Rp. 131.000,Kering,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
28,Maybelline New York Fit Me! Powder Foundation ,https://images.soco.id/9a6c0575-9021-4cf6-92da-a28d66573729-55146891048-1626405983863.png,Rp. 149.000,Berminyak (Oily Skin),Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
29,Maybelline New York Fit Me Matte + Poreless Cushion,https://image.femaledaily.com/dyn/640/images/prod-pics/product_1635745020_128_800x800.jpg,Rp. 209.300,Berminyak (Oily Skin),Warm,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
32,L'Oreal Paris Infallible 24H Matte Cover Foundation ,https://images.soco.id/9370cab2-16db-42ab-a389-94a381581a08-image-0-1614050910584,Rp. 222.000,Berminyak (Oily Skin),Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
33,L'Oreal Paris Infallible 24H Fresh Wear Foundation,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/6/8/8/0/26880-large_default.jpg,Rp. 270.500,Berminyak (Oily Skin),Warm,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
36,L'Oreal Paris True Match Cushion Foundation,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/0/6/5/4/10654-large_default.jpg,Rp. 330.800,Berminyak (Oily Skin),Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
38,L'Oreal Paris Mat Magique Liquid Foundation,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/510VLOQR4lL.jpg,Rp. 150.000,Berminyak (Oily Skin),Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
40,Wardah Lightening Liquid Foundation ,https://images.soco.id/image-6-1601369715704,Rp. 55.000,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
43,Wardah Lightening BB Cream ,https://images.soco.id/36108529475-1585708820152.png,Rp. 65.900,Berminyak (Oily Skin),Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
44,Wardah Exclusive Creamy Foundation,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/2/5/0/3/22503-large_default.jpg,Rp. 100.000,Normal dan Berminyak (Oily Skin),Cool,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
45,Wardah Everyday BB Cream ,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/4/7/6/9/14769-large_default.jpg,Rp. 52.000,Berminyak (Oily Skin),Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
49,Emina Bare With Me Mineral Mild Foundation ,https://images.soco.id/63515001860-1598517096990.png,Rp. 83.000,All Skintype,Cool,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
50,Emina Bare With Me Mineral Cushion ,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/5/0/2/4/25024-large_default.jpg,Rp. 128.500,Berminyak (Oily Skin),Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
51,Emina Daily Matte Cushion ,https://images.soco.id/723d98c4-2f22-4179-89fc-727e8b56428e-.jpg,Rp. 93.500,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
52,Emina Bare With Me Mineral Loose Powder ,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/5/1/0/8/5108-large_default.jpg,Rp. 59.500,Berminyak (Oily Skin),Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
54,BLP Face Concealer,https://images.soco.id/ffd5eb2c-f03f-4ba5-8495-7163328cfad0-image-0-1631776788123,Rp. 125.100,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
56,BLP Face Powder Loose Powder ,https://images.soco.id/40fec68d-86d8-47a6-946f-372657354125-1680732606.74536.png,Rp. 143.100,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
62,Luxcrime 2in1 Breathable Color Stay: Foundation + Concealer,https://image.femaledaily.com/dyn/640/images/prod-pics/5637e12933233be1f415ad8aff4f655a.jpg,Rp. 130.130,Kering,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
63,Luxcrime 2nd Skin Luminous Cushion ,https://image.femaledaily.com/dyn/640/images/prod-pics/product_1611823488_Catalogue__800x800.jpg,Rp. 196.900,Kering,Cool,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
65,Wardah Instaperfect Matte Fit Powder Foundation,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/4/7/0/9/34709-large_default.jpg,Rp. 139.000,Berminyak (Oily Skin),Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
66,Wardah Lightening Powder Foundation Extra Cover ,https://images.soco.id/333-cover21.jpg.jpg,Rp. 61.500,All Skintype,Warm,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
69,Makeup By Mario SurrealSkin Liquid Foundation (3W),https://www.sephora.com/productimages/sku/s2620243-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Warm,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
70,Makeup By Mario SurrealSkin Liquid Foundation (4C),https://www.sephora.com/productimages/sku/s2620250-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Cool,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
71,Makeup By Mario SurrealSkin Liquid Foundation (5N),https://www.sephora.com/productimages/sku/s2620268-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
72,Makeup By Mario SurrealSkin Liquid Foundation (6W),https://www.sephora.com/productimages/sku/s2620276-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Warm,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
73,Makeup By Mario SurrealSkin Liquid Foundation (7C),https://www.sephora.com/productimages/sku/s2620284-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Cool,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
74,Makeup By Mario SurrealSkin Liquid Foundation (8N),https://www.sephora.com/productimages/sku/s2620292-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
75,Makeup By Mario SurrealSkin Liquid Foundation (9W),https://www.sephora.com/productimages/sku/s2620300-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Warm,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
76,Makeup By Mario SurrealSkin Liquid Foundation (10C),https://www.sephora.com/productimages/sku/s2620318-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Cool,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
77,Makeup By Mario SurrealSkin Liquid Foundation (11N),https://www.sephora.com/productimages/sku/s2620326-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
100,Nars Light Reflection Advanced Skincare Foundation (L2.5),https://www.sephora.com/productimages/sku/s2514719-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Cool,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
101,Nars Light Reflection Advanced Skincare Foundation (M1.2),https://www.sephora.com/productimages/sku/s2514644-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
102,Nars Light Reflection Advanced Skincare Foundation (L3),https://www.sephora.com/productimages/sku/s2514701-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
103,Nars Light Reflection Advanced Skincare Foundation (M1.5),https://www.sephora.com/productimages/sku/s2514636-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Cool,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
104,Nars Light Reflection Advanced Skincare Foundation (M2),https://www.sephora.com/productimages/sku/s2514628-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral and Peach,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
105,Nars Light Reflection Advanced Skincare Foundation (L3.5),https://www.sephora.com/productimages/sku/s2514693-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warm,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
106,Nars Light Reflection Advanced Skincare Foundation (L4),https://www.sephora.com/productimages/sku/s2514685-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
109,Nars Light Reflection Advanced Skincare Foundation (L4.5),https://www.sephora.com/productimages/sku/s2514677-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Cool,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
110,Nars Light Reflection Advanced Skincare Foundation (L4.5),https://www.sephora.com/productimages/sku/s2514669-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warm,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
141,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Porcelain),https://www.sephora.com/productimages/sku/s1711910-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
142,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Vanilla),https://www.sephora.com/productimages/sku/s1711936-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
143,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Nude),https://www.sephora.com/productimages/sku/s1711944-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Rosy,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
144,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (WarmNude),https://www.sephora.com/productimages/sku/s1711951-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
145,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Golden Beige),https://www.sephora.com/productimages/sku/s1960772-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
146,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Light Beige),https://www.sephora.com/productimages/sku/s1711969-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
147,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Natural Beige),https://www.sephora.com/productimages/sku/s1711977-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,2,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
18,Make Over Powerstay 24h Weightless Liquid Foundation ,https://makeover-bucket-testing.s3.ap-southeast-1.amazonaws.com/images/productthumbnail/9235df3837cbc3197ac1d93e321b4b854f4253b8.jpg,Rp. 171.125,Berminyak (Oily Skin),Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
21,Make Over Powerstay Total Cover Matte Cream Foundation ,https://makeover-bucket-testing.s3.ap-southeast-1.amazonaws.com/images/productthumbnail/ab346895a55038921ab30fbd9e78ac80bf687a12.jpg,Rp. 155.000,Berminyak (Oily Skin),Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
23,Make Over Shimmering Powder ,https://makeover-bucket-testing.s3.ap-southeast-1.amazonaws.com/images/productthumbnail/8cbb57d67d13a2709712fddffccf62fb13c66b06.jpg,Rp. 127.000,Kering dan Normal,Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
27,Maybelline New York Fit Me Fresh Tint Foundation ,https://images.soco.id/4208aab7-0815-4d3a-b4a7-23116b6f28a2-.jpg,Rp. 109.000,All Skintype,Neutral,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
31,Maybelline New York Fit Me + Poreless Liquid Foundation,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/2/2/8/1/32281-large_default.jpg,Rp. 165.900,Normal dan Berminyak (Oily Skin),Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
34,L'Oreal Paris Infallible Pro-Matte Foundation,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/3/5/3/2/13532-large_default.jpg,Rp. 222.000,Berminyak (Oily Skin),Neutral,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
35,L'Oreal Paris True Match Liquid Satin Smooth Foundation,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/0/1/3/3/20133-large_default.jpg,Rp. 240.000,Berminyak (Oily Skin),Neutral,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
37,L'Oreal Paris Match Lumi Healthy Luminous Makeup,https://s3-ap-southeast-1.amazonaws.com/soc-uploader/images/MZai805HCTphiuEOgN5oJB3rpVtVpb_1499857061.jpg,Rp. 300.000,All Skintype,Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
42,Wardah Everyday Luminous Liquid Foundation ,https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/2/1/0/3/22103-large_default.jpg,Rp. 43.500,Berminyak (Oily Skin),Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
46,Wardah Colorfit Matte Foundation ,https://images.soco.id/79998c7d-8a46-4dfb-8aaf-ec66cf56e4be-image-7-1614220904598,Rp. 58.900,Berminyak (Oily Skin),Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
48,Wardah Colorfit Perfect Glow Cushion ,https://images.soco.id/4b3d941d-6b27-4e10-b652-323072cdf933-.jpg,Rp. 105.000,All Skintype,Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
59,SOMETHINC Hooman Breathable UV Cushion Cover ,https://image.femaledaily.com/dyn/500/images/prod-pics/product_1639468729_Hooman_Cus_800x800.jpg,Rp. 185.900,Berminyak (Oily Skin),Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
64,Luxcrime Ultra Cover Foundation ,https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/LUXCRIME_Ultra_Cover_Foundation_Balm_Banana_Split_%28COVER%29.png,Rp. 141.510,All Skintype,Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
78,Makeup By Mario SurrealSkin Liquid Foundation (12O),https://www.sephora.com/productimages/sku/s2620334-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Warmand Olive,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
79,Makeup By Mario SurrealSkin Liquid Foundation (13W),https://www.sephora.com/productimages/sku/s2620342-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
80,Makeup By Mario SurrealSkin Liquid Foundation (14O),https://www.sephora.com/productimages/sku/s2620359-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Warmand Olive,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
81,Makeup By Mario SurrealSkin Liquid Foundation (15N),https://www.sephora.com/productimages/sku/s2620367-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Neutral,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
107,Nars Light Reflectiong Advanced Skincare Foundation (M2.5),https://www.sephora.com/productimages/sku/s2514610-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warmand Peach,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
108,Nars Light Reflectiong Advanced Skincare Foundation (M3),https://www.sephora.com/productimages/sku/s2514602-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warmand Yellow,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
111,Nars Light Reflectiong Advanced Skincare Foundation (L5),https://www.sephora.com/productimages/sku/s2514594-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warmand Olive,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
112,Nars Light Reflectiong Advanced Skincare Foundation (M3.5),https://www.sephora.com/productimages/sku/s2514586-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warmand Golden,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
113,Nars Light Reflectiong Advanced Skincare Foundation (M4),https://www.sephora.com/productimages/sku/s2514651-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warmand Golden,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
114,Nars Light Reflectiong Advanced Skincare Foundation (M1),https://www.sephora.com/productimages/sku/s2514578-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warmand Peach,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
115,Nars Light Reflectiong Advanced Skincare Foundation (M5),https://www.sephora.com/productimages/sku/s2514560-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Cool,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
116,Nars Light Reflectiong Advanced Skincare Foundation (M6),https://www.sephora.com/productimages/sku/s2514552-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
117,Nars Light Reflectiong Advanced Skincare Foundation (MD1),https://www.sephora.com/productimages/sku/s2514545-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warmand Olive,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
118,Nars Light Reflectiong Advanced Skincare Foundation (MD2),https://www.sephora.com/productimages/sku/s2514537-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warm,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
148,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (WarmBeige),https://www.sephora.com/productimages/sku/s1711985-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
149,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Sand),https://www.sephora.com/productimages/sku/s1711993-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
150,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Golden),https://www.sephora.com/productimages/sku/s1712009-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Rosy,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
151,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Praline),https://www.sephora.com/productimages/sku/s2084622-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
152,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (WarmSand),https://www.sephora.com/productimages/sku/s1960780-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
153,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Honey),https://www.sephora.com/productimages/sku/s1712017-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
154,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Caramel),https://www.sephora.com/productimages/sku/s1712025-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,3,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
19,Make Over Ultra Cover Liquid Matt Foundation ,https://makeover-bucket-testing.s3.ap-southeast-1.amazonaws.com/images/productthumbnail/de7fbd53db081b78acc393fc67e1050189be070b.jpg,Rp. 154.850,Berminyak (Oily Skin),Warm,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
82,Makeup By Mario SurrealSkin Liquid Foundation (16C),https://www.sephora.com/productimages/sku/s2620375-main-zoom.jpg?imwidth=315,Rp. 624.372,Kering,Cool,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
